session_id,persona,trial_number,choice,won,loss,total,model
1,baseline,1,Q,100.0,0.0,2100.0,deepseek
1,baseline,2,Q,100.0,-250.0,1950.0,deepseek
1,baseline,3,K,100.0,-1250.0,800.0,deepseek
1,baseline,4,D,50.0,0.0,850.0,deepseek
1,baseline,5,Q,100.0,-250.0,700.0,deepseek
1,baseline,6,D,50.0,-250.0,500.0,deepseek
1,baseline,7,Q,100.0,0.0,600.0,deepseek
1,baseline,8,D,50.0,0.0,650.0,deepseek
1,baseline,9,D,50.0,0.0,700.0,deepseek
1,baseline,10,D,50.0,0.0,750.0,deepseek
1,baseline,11,D,50.0,-250.0,550.0,deepseek
1,baseline,12,D,50.0,0.0,600.0,deepseek
1,baseline,13,D,50.0,0.0,650.0,deepseek
1,baseline,14,Q,100.0,0.0,750.0,deepseek
1,baseline,15,D,50.0,0.0,800.0,deepseek
1,baseline,16,D,50.0,0.0,850.0,deepseek
1,baseline,17,D,50.0,0.0,900.0,deepseek
1,baseline,18,D,50.0,0.0,950.0,deepseek
1,baseline,19,D,50.0,0.0,1000.0,deepseek
1,baseline,20,D,50.0,0.0,1050.0,deepseek
1,baseline,21,D,50.0,0.0,1100.0,deepseek
1,baseline,22,D,50.0,0.0,1150.0,deepseek
1,baseline,23,D,50.0,0.0,1200.0,deepseek
1,baseline,24,K,100.0,0.0,1300.0,deepseek
1,baseline,25,D,50.0,0.0,1350.0,deepseek
1,baseline,26,Q,100.0,0.0,1450.0,deepseek
1,baseline,27,D,50.0,0.0,1500.0,deepseek
1,baseline,28,D,50.0,0.0,1550.0,deepseek
1,baseline,29,D,50.0,0.0,1600.0,deepseek
1,baseline,30,D,50.0,0.0,1650.0,deepseek
1,baseline,31,D,50.0,0.0,1700.0,deepseek
1,baseline,32,D,50.0,0.0,1750.0,deepseek
1,baseline,33,D,50.0,0.0,1800.0,deepseek
1,baseline,34,D,50.0,0.0,1850.0,deepseek
1,baseline,35,D,50.0,0.0,1900.0,deepseek
1,baseline,36,D,50.0,0.0,1950.0,deepseek
1,baseline,37,D,50.0,0.0,2000.0,deepseek
1,baseline,38,D,50.0,0.0,2050.0,deepseek
1,baseline,39,D,50.0,0.0,2100.0,deepseek
1,baseline,40,D,50.0,0.0,2150.0,deepseek
1,baseline,41,D,50.0,0.0,2200.0,deepseek
1,baseline,42,D,50.0,0.0,2250.0,deepseek
1,baseline,43,D,50.0,0.0,2300.0,deepseek
1,baseline,44,Q,100.0,0.0,2400.0,deepseek
1,baseline,45,Q,100.0,0.0,2500.0,deepseek
1,baseline,46,D,50.0,0.0,2550.0,deepseek
1,baseline,47,D,50.0,0.0,2600.0,deepseek
1,baseline,48,D,50.0,-250.0,2400.0,deepseek
1,baseline,49,D,50.0,0.0,2450.0,deepseek
1,baseline,50,D,50.0,0.0,2500.0,deepseek
1,baseline,51,D,50.0,0.0,2550.0,deepseek
1,baseline,52,Q,100.0,0.0,2650.0,deepseek
1,baseline,53,D,50.0,0.0,2700.0,deepseek
1,baseline,54,D,50.0,0.0,2750.0,deepseek
1,baseline,55,D,50.0,0.0,2800.0,deepseek
1,baseline,56,D,50.0,0.0,2850.0,deepseek
1,baseline,57,D,50.0,0.0,2900.0,deepseek
1,baseline,58,D,50.0,0.0,2950.0,deepseek
1,baseline,59,D,50.0,0.0,3000.0,deepseek
1,baseline,60,D,50.0,0.0,3050.0,deepseek
1,baseline,61,D,50.0,0.0,3100.0,deepseek
1,baseline,62,D,50.0,0.0,3150.0,deepseek
1,baseline,63,D,50.0,0.0,3200.0,deepseek
1,baseline,64,D,50.0,0.0,3250.0,deepseek
1,baseline,65,D,50.0,0.0,3300.0,deepseek
1,baseline,66,D,50.0,0.0,3350.0,deepseek
1,baseline,67,D,50.0,0.0,3400.0,deepseek
1,baseline,68,D,50.0,0.0,3450.0,deepseek
1,baseline,69,D,50.0,0.0,3500.0,deepseek
1,baseline,70,D,50.0,0.0,3550.0,deepseek
1,baseline,71,D,50.0,0.0,3600.0,deepseek
1,baseline,72,D,50.0,0.0,3650.0,deepseek
1,baseline,73,D,50.0,0.0,3700.0,deepseek
1,baseline,74,D,50.0,0.0,3750.0,deepseek
1,baseline,75,D,50.0,0.0,3800.0,deepseek
1,baseline,76,D,50.0,0.0,3850.0,deepseek
1,baseline,77,D,50.0,-250.0,3650.0,deepseek
1,baseline,78,D,50.0,0.0,3700.0,deepseek
1,baseline,79,D,50.0,-250.0,3500.0,deepseek
1,baseline,80,D,50.0,0.0,3550.0,deepseek
1,baseline,81,D,50.0,0.0,3600.0,deepseek
1,baseline,82,D,50.0,0.0,3650.0,deepseek
1,baseline,83,D,50.0,0.0,3700.0,deepseek
1,baseline,84,D,50.0,0.0,3750.0,deepseek
1,baseline,85,D,50.0,0.0,3800.0,deepseek
1,baseline,86,D,50.0,0.0,3850.0,deepseek
1,baseline,87,D,50.0,0.0,3900.0,deepseek
1,baseline,88,D,50.0,0.0,3950.0,deepseek
1,baseline,89,D,50.0,0.0,4000.0,deepseek
1,baseline,90,D,50.0,0.0,4050.0,deepseek
1,baseline,91,D,50.0,-250.0,3850.0,deepseek
1,baseline,92,K,100.0,0.0,3950.0,deepseek
1,baseline,93,D,50.0,0.0,4000.0,deepseek
1,baseline,94,K,100.0,0.0,4100.0,deepseek
1,baseline,95,K,100.0,0.0,4200.0,deepseek
1,baseline,96,K,100.0,0.0,4300.0,deepseek
1,baseline,97,K,100.0,0.0,4400.0,deepseek
1,baseline,98,K,100.0,0.0,4500.0,deepseek
1,baseline,99,K,100.0,0.0,4600.0,deepseek
1,baseline,100,K,100.0,0.0,4700.0,deepseek
2,baseline,1,Q,100.0,0.0,2100.0,deepseek
2,baseline,2,Q,100.0,0.0,2200.0,deepseek
2,baseline,3,Q,100.0,-250.0,2050.0,deepseek
2,baseline,4,K,100.0,0.0,2150.0,deepseek
2,baseline,5,K,100.0,0.0,2250.0,deepseek
2,baseline,6,Q,100.0,-250.0,2100.0,deepseek
2,baseline,7,K,100.0,0.0,2200.0,deepseek
2,baseline,8,K,100.0,0.0,2300.0,deepseek
2,baseline,9,K,100.0,0.0,2400.0,deepseek
2,baseline,10,K,100.0,-1250.0,1250.0,deepseek
2,baseline,11,K,100.0,0.0,1350.0,deepseek
2,baseline,12,D,50.0,0.0,1400.0,deepseek
2,baseline,13,S,50.0,0.0,1450.0,deepseek
2,baseline,14,D,50.0,0.0,1500.0,deepseek
2,baseline,15,D,50.0,0.0,1550.0,deepseek
2,baseline,16,D,50.0,0.0,1600.0,deepseek
2,baseline,17,D,50.0,0.0,1650.0,deepseek
