session_id,persona,trial_number,choice,won,loss,total,model
1,disengaged,1,Q,100,-250,1850,deepseek
1,disengaged,2,S,50,-50,1850,deepseek
1,disengaged,3,K,100,0,1950,deepseek
1,disengaged,4,D,50,0,2000,deepseek
1,disengaged,5,S,50,0,2050,deepseek
1,disengaged,6,Q,100,0,2150,deepseek
1,disengaged,7,K,100,0,2250,deepseek
1,disengaged,8,D,50,0,2300,deepseek
1,disengaged,9,Q,100,0,2400,deepseek
1,disengaged,10,K,100,-1250,1250,deepseek
1,disengaged,11,S,50,0,1300,deepseek
1,disengaged,12,Q,100,-250,1150,deepseek
1,disengaged,13,K,100,0,1250,deepseek
1,disengaged,14,S,50,0,1300,deepseek
1,disengaged,15,S,50,-50,1300,deepseek
1,disengaged,16,Q,100,-250,1150,deepseek
1,disengaged,17,D,50,0,1200,deepseek
1,disengaged,18,Q,100,0,1300,deepseek
1,disengaged,19,K,100,0,1400,deepseek
1,disengaged,20,S,50,0,1450,deepseek
1,disengaged,21,D,50,0,1500,deepseek
1,disengaged,22,S,50,0,1550,deepseek
1,disengaged,23,Q,100,-250,1400,deepseek
1,disengaged,24,D,50,-250,1200,deepseek
1,disengaged,25,S,50,-50,1200,deepseek
1,disengaged,26,S,50,-50,1200,deepseek
1,disengaged,27,Q,100,-250,1050,deepseek
1,disengaged,28,K,100,0,1150,deepseek
1,disengaged,29,D,50,0,1200,deepseek
1,disengaged,30,D,50,0,1250,deepseek
1,disengaged,31,Q,100,0,1350,deepseek
1,disengaged,32,K,100,0,1450,deepseek
1,disengaged,33,D,50,0,1500,deepseek
1,disengaged,34,S,50,-50,1500,deepseek
1,disengaged,35,K,100,0,1600,deepseek
1,disengaged,36,S,50,0,1650,deepseek
1,disengaged,37,K,100,0,1750,deepseek
1,disengaged,38,D,50,0,1800,deepseek
1,disengaged,39,Q,100,-250,1650,deepseek
1,disengaged,40,D,50,0,1700,deepseek
1,disengaged,41,K,100,0,1800,deepseek
1,disengaged,42,S,50,-50,1800,deepseek
1,disengaged,43,S,50,0,1850,deepseek
1,disengaged,44,S,50,0,1900,deepseek
1,disengaged,45,K,100,0,2000,deepseek
1,disengaged,46,S,50,0,2050,deepseek
1,disengaged,47,D,50,0,2100,deepseek
1,disengaged,48,S,50,-50,2100,deepseek
1,disengaged,49,Q,100,-250,1950,deepseek
1,disengaged,50,D,50,0,2000,deepseek
1,disengaged,51,K,100,0,2100,deepseek
1,disengaged,52,Q,100,0,2200,deepseek
1,disengaged,53,Q,100,-250,2050,deepseek
1,disengaged,54,K,100,0,2150,deepseek
1,disengaged,55,Q,100,0,2250,deepseek
1,disengaged,56,K,100,-1250,1100,deepseek
1,disengaged,57,S,50,-50,1100,deepseek
1,disengaged,58,S,50,0,1150,deepseek
1,disengaged,59,Q,100,0,1250,deepseek
1,disengaged,60,S,50,-50,1250,deepseek
1,disengaged,61,Q,100,0,1350,deepseek
1,disengaged,62,S,50,0,1400,deepseek
1,disengaged,63,D,50,0,1450,deepseek
1,disengaged,64,Q,100,-250,1300,deepseek
1,disengaged,65,S,50,0,1350,deepseek
1,disengaged,66,S,50,0,1400,deepseek
1,disengaged,67,D,50,0,1450,deepseek
1,disengaged,68,K,100,0,1550,deepseek
1,disengaged,69,Q,100,0,1650,deepseek
1,disengaged,70,S,50,0,1700,deepseek
1,disengaged,71,D,50,0,1750,deepseek
1,disengaged,72,D,50,-250,1550,deepseek
1,disengaged,73,K,100,0,1650,deepseek
1,disengaged,74,Q,100,0,1750,deepseek
1,disengaged,75,K,100,0,1850,deepseek
1,disengaged,76,K,100,0,1950,deepseek
1,disengaged,77,K,100,0,2050,deepseek
1,disengaged,78,Q,100,-250,1900,deepseek
1,disengaged,79,K,100,0,2000,deepseek
1,disengaged,80,Q,100,0,2100,deepseek
1,disengaged,81,S,50,0,2150,deepseek
1,disengaged,82,Q,100,0,2250,deepseek
1,disengaged,83,S,50,-50,2250,deepseek
1,disengaged,84,K,100,-1250,1100,deepseek
1,disengaged,85,D,50,0,1150,deepseek
1,disengaged,86,K,100,0,1250,deepseek
1,disengaged,87,S,50,0,1300,deepseek
1,disengaged,88,S,50,-50,1300,deepseek
1,disengaged,89,Q,100,0,1400,deepseek
1,disengaged,90,D,50,0,1450,deepseek
1,disengaged,91,Q,100,-250,1300,deepseek
1,disengaged,92,S,50,-50,1300,deepseek
1,disengaged,93,K,100,0,1400,deepseek
1,disengaged,94,D,50,0,1450,deepseek
1,disengaged,95,K,100,0,1550,deepseek
1,disengaged,96,K,100,0,1650,deepseek
1,disengaged,97,K,100,0,1750,deepseek
1,disengaged,98,K,100,0,1850,deepseek
1,disengaged,99,Q,100,-250,1700,deepseek
