session_id,persona,trial_number,choice,won,loss,total,model
1,baseline,1,Q,100,0,2100,deepseek
1,baseline,2,Q,100,-250,1950,deepseek
1,baseline,3,K,100,-1250,800,deepseek
1,baseline,4,D,50,0,850,deepseek
1,baseline,5,Q,100,-250,700,deepseek
1,baseline,6,D,50,-250,500,deepseek
1,baseline,7,Q,100,0,600,deepseek
1,baseline,8,D,50,0,650,deepseek
1,baseline,9,D,50,0,700,deepseek
1,baseline,10,D,50,0,750,deepseek
1,baseline,11,D,50,-250,550,deepseek
1,baseline,12,D,50,0,600,deepseek
1,baseline,13,D,50,0,650,deepseek
1,baseline,14,Q,100,0,750,deepseek
1,baseline,15,D,50,0,800,deepseek
1,baseline,16,D,50,0,850,deepseek
1,baseline,17,D,50,0,900,deepseek
1,baseline,18,D,50,0,950,deepseek
1,baseline,19,D,50,0,1000,deepseek
1,baseline,20,D,50,0,1050,deepseek
1,baseline,21,D,50,0,1100,deepseek
1,baseline,22,D,50,0,1150,deepseek
1,baseline,23,D,50,0,1200,deepseek
1,baseline,24,K,100,0,1300,deepseek
1,baseline,25,D,50,0,1350,deepseek
1,baseline,26,Q,100,0,1450,deepseek
1,baseline,27,D,50,0,1500,deepseek
1,baseline,28,D,50,0,1550,deepseek
1,baseline,29,D,50,0,1600,deepseek
1,baseline,30,D,50,0,1650,deepseek
1,baseline,31,D,50,0,1700,deepseek
1,baseline,32,D,50,0,1750,deepseek
1,baseline,33,D,50,0,1800,deepseek
1,baseline,34,D,50,0,1850,deepseek
1,baseline,35,D,50,0,1900,deepseek
1,baseline,36,D,50,0,1950,deepseek
1,baseline,37,D,50,0,2000,deepseek
1,baseline,38,D,50,0,2050,deepseek
1,baseline,39,D,50,0,2100,deepseek
1,baseline,40,D,50,0,2150,deepseek
1,baseline,41,D,50,0,2200,deepseek
1,baseline,42,D,50,0,2250,deepseek
1,baseline,43,D,50,0,2300,deepseek
1,baseline,44,Q,100,0,2400,deepseek
1,baseline,45,Q,100,0,2500,deepseek
1,baseline,46,D,50,0,2550,deepseek
1,baseline,47,D,50,0,2600,deepseek
1,baseline,48,D,50,-250,2400,deepseek
1,baseline,49,D,50,0,2450,deepseek
1,baseline,50,D,50,0,2500,deepseek
1,baseline,51,D,50,0,2550,deepseek
1,baseline,52,Q,100,0,2650,deepseek
1,baseline,53,D,50,0,2700,deepseek
1,baseline,54,D,50,0,2750,deepseek
1,baseline,55,D,50,0,2800,deepseek
1,baseline,56,D,50,0,2850,deepseek
1,baseline,57,D,50,0,2900,deepseek
1,baseline,58,D,50,0,2950,deepseek
1,baseline,59,D,50,0,3000,deepseek
1,baseline,60,D,50,0,3050,deepseek
1,baseline,61,D,50,0,3100,deepseek
1,baseline,62,D,50,0,3150,deepseek
1,baseline,63,D,50,0,3200,deepseek
1,baseline,64,D,50,0,3250,deepseek
1,baseline,65,D,50,0,3300,deepseek
1,baseline,66,D,50,0,3350,deepseek
1,baseline,67,D,50,0,3400,deepseek
1,baseline,68,D,50,0,3450,deepseek
1,baseline,69,D,50,0,3500,deepseek
1,baseline,70,D,50,0,3550,deepseek
1,baseline,71,D,50,0,3600,deepseek
1,baseline,72,D,50,0,3650,deepseek
1,baseline,73,D,50,0,3700,deepseek
1,baseline,74,D,50,0,3750,deepseek
1,baseline,75,D,50,0,3800,deepseek
1,baseline,76,D,50,0,3850,deepseek
1,baseline,77,D,50,-250,3650,deepseek
1,baseline,78,D,50,0,3700,deepseek
1,baseline,79,D,50,-250,3500,deepseek
1,baseline,80,D,50,0,3550,deepseek
1,baseline,81,D,50,0,3600,deepseek
1,baseline,82,D,50,0,3650,deepseek
1,baseline,83,D,50,0,3700,deepseek
1,baseline,84,D,50,0,3750,deepseek
1,baseline,85,D,50,0,3800,deepseek
1,baseline,86,D,50,0,3850,deepseek
1,baseline,87,D,50,0,3900,deepseek
1,baseline,88,D,50,0,3950,deepseek
1,baseline,89,D,50,0,4000,deepseek
1,baseline,90,D,50,0,4050,deepseek
1,baseline,91,D,50,-250,3850,deepseek
1,baseline,92,K,100,0,3950,deepseek
1,baseline,93,D,50,0,4000,deepseek
1,baseline,94,K,100,0,4100,deepseek
1,baseline,95,K,100,0,4200,deepseek
1,baseline,96,K,100,0,4300,deepseek
1,baseline,97,K,100,0,4400,deepseek
1,baseline,98,K,100,0,4500,deepseek
1,baseline,99,K,100,0,4600,deepseek
1,baseline,100,K,100,0,4700,deepseek
2,baseline,1,Q,100,0,2100,deepseek
2,baseline,2,Q,100,0,2200,deepseek
2,baseline,3,Q,100,-250,2050,deepseek
2,baseline,4,K,100,0,2150,deepseek
2,baseline,5,K,100,0,2250,deepseek
2,baseline,6,Q,100,-250,2100,deepseek
2,baseline,7,K,100,0,2200,deepseek
2,baseline,8,K,100,0,2300,deepseek
2,baseline,9,K,100,0,2400,deepseek
2,baseline,10,K,100,-1250,1250,deepseek
2,baseline,11,K,100,0,1350,deepseek
2,baseline,12,D,50,0,1400,deepseek
2,baseline,13,S,50,0,1450,deepseek
2,baseline,14,D,50,0,1500,deepseek
2,baseline,15,D,50,0,1550,deepseek
2,baseline,16,D,50,0,1600,deepseek
2,baseline,17,D,50,0,1650,deepseek
2,baseline,18,D,50,0,1700,deepseek
2,baseline,19,D,50,0,1750,deepseek
2,baseline,20,S,50,0,1800,deepseek
2,baseline,21,D,50,0,1850,deepseek
2,baseline,22,D,50,0,1900,deepseek
2,baseline,23,D,50,0,1950,deepseek
2,baseline,24,D,50,0,2000,deepseek
2,baseline,25,D,50,0,2050,deepseek
2,baseline,26,D,50,0,2100,deepseek
2,baseline,27,D,50,0,2150,deepseek
2,baseline,28,D,50,0,2200,deepseek
2,baseline,29,D,50,0,2250,deepseek
2,baseline,30,D,50,0,2300,deepseek
2,baseline,31,D,50,0,2350,deepseek
2,baseline,32,D,50,0,2400,deepseek
2,baseline,33,S,50,-50,2400,deepseek
2,baseline,34,D,50,0,2450,deepseek
2,baseline,35,D,50,0,2500,deepseek
2,baseline,36,S,50,-50,2500,deepseek
2,baseline,37,D,50,0,2550,deepseek
2,baseline,38,D,50,0,2600,deepseek
2,baseline,39,D,50,-250,2400,deepseek
2,baseline,40,S,50,0,2450,deepseek
2,baseline,41,D,50,0,2500,deepseek
2,baseline,42,D,50,0,2550,deepseek
2,baseline,43,D,50,0,2600,deepseek
2,baseline,44,D,50,-250,2400,deepseek
2,baseline,45,S,50,-50,2400,deepseek
2,baseline,46,D,50,0,2450,deepseek
2,baseline,47,D,50,0,2500,deepseek
2,baseline,48,D,50,0,2550,deepseek
2,baseline,49,D,50,0,2600,deepseek
2,baseline,50,D,50,0,2650,deepseek
2,baseline,51,D,50,0,2700,deepseek
2,baseline,52,D,50,0,2750,deepseek
2,baseline,53,D,50,-250,2550,deepseek
2,baseline,54,S,50,-50,2550,deepseek
2,baseline,55,D,50,0,2600,deepseek
2,baseline,56,D,50,0,2650,deepseek
2,baseline,57,K,100,0,2750,deepseek
2,baseline,58,D,50,0,2800,deepseek
2,baseline,59,S,50,-50,2800,deepseek
2,baseline,60,K,100,0,2900,deepseek
2,baseline,61,K,100,0,3000,deepseek
2,baseline,62,K,100,0,3100,deepseek
2,baseline,63,K,100,0,3200,deepseek
2,baseline,64,K,100,0,3300,deepseek
2,baseline,65,K,100,0,3400,deepseek
2,baseline,66,K,100,-1250,2250,deepseek
2,baseline,67,D,50,0,2300,deepseek
2,baseline,68,D,50,0,2350,deepseek
2,baseline,69,D,50,0,2400,deepseek
2,baseline,70,D,50,-250,2200,deepseek
2,baseline,71,D,50,0,2250,deepseek
2,baseline,72,D,50,0,2300,deepseek
2,baseline,73,D,50,0,2350,deepseek
2,baseline,74,D,50,-250,2150,deepseek
2,baseline,75,D,50,0,2200,deepseek
2,baseline,76,D,50,0,2250,deepseek
2,baseline,77,K,100,0,2350,deepseek
2,baseline,78,D,50,-250,2150,deepseek
2,baseline,79,K,100,0,2250,deepseek
2,baseline,80,K,100,0,2350,deepseek
2,baseline,81,K,100,0,2450,deepseek
2,baseline,82,K,100,0,2550,deepseek
2,baseline,83,D,50,0,2600,deepseek
2,baseline,84,K,100,0,2700,deepseek
2,baseline,85,K,100,0,2800,deepseek
2,baseline,86,K,100,0,2900,deepseek
2,baseline,87,K,100,0,3000,deepseek
2,baseline,88,K,100,-1250,1850,deepseek
2,baseline,89,D,50,0,1900,deepseek
2,baseline,90,D,50,0,1950,deepseek
2,baseline,91,D,50,0,2000,deepseek
2,baseline,92,D,50,0,2050,deepseek
2,baseline,93,K,100,0,2150,deepseek
2,baseline,94,K,100,0,2250,deepseek
2,baseline,95,D,50,0,2300,deepseek
2,baseline,96,D,50,0,2350,deepseek
2,baseline,97,K,100,0,2450,deepseek
2,baseline,98,K,100,0,2550,deepseek
2,baseline,99,D,50,0,2600,deepseek
2,baseline,100,D,50,0,2650,deepseek
3,baseline,1,Q,100,-250,1850,deepseek
3,baseline,2,K,100,0,1950,deepseek
3,baseline,3,K,100,0,2050,deepseek
3,baseline,4,K,100,-1250,900,deepseek
3,baseline,5,S,50,-50,900,deepseek
3,baseline,6,Q,100,0,1000,deepseek
3,baseline,7,K,100,0,1100,deepseek
3,baseline,8,S,50,-50,1100,deepseek
3,baseline,9,S,50,-50,1100,deepseek
3,baseline,10,S,50,-50,1100,deepseek
3,baseline,11,S,50,-50,1100,deepseek
3,baseline,12,S,50,0,1150,deepseek
3,baseline,13,S,50,0,1200,deepseek
3,baseline,14,S,50,-50,1200,deepseek
3,baseline,15,S,50,-50,1200,deepseek
3,baseline,16,S,50,-50,1200,deepseek
3,baseline,17,S,50,-50,1200,deepseek
3,baseline,18,S,50,0,1250,deepseek
3,baseline,19,K,100,-1250,100,deepseek
3,baseline,20,S,50,0,150,deepseek
3,baseline,21,S,50,0,200,deepseek
3,baseline,22,S,50,-50,200,deepseek
3,baseline,23,S,50,-50,200,deepseek
3,baseline,24,K,100,0,300,deepseek
3,baseline,25,Q,100,-250,150,deepseek
3,baseline,26,S,50,-50,150,deepseek
3,baseline,27,S,50,0,200,deepseek
3,baseline,28,S,50,-50,200,deepseek
3,baseline,29,S,50,-50,200,deepseek
3,baseline,30,S,50,0,250,deepseek
3,baseline,31,S,50,-50,250,deepseek
3,baseline,32,S,50,0,300,deepseek
3,baseline,33,S,50,0,350,deepseek
3,baseline,34,S,50,0,400,deepseek
3,baseline,35,S,50,0,450,deepseek
3,baseline,36,S,50,-50,450,deepseek
3,baseline,37,S,50,0,500,deepseek
3,baseline,38,S,50,0,550,deepseek
3,baseline,39,S,50,0,600,deepseek
3,baseline,40,S,50,0,650,deepseek
3,baseline,41,S,50,-50,650,deepseek
3,baseline,42,S,50,-50,650,deepseek
3,baseline,43,K,100,0,750,deepseek
3,baseline,44,K,100,0,850,deepseek
3,baseline,45,K,100,0,950,deepseek
