session_id,persona,trial_number,choice,won,loss,total,model
1,risk_averse,1,Q,100.0,0.0,2100.0,deepseek
1,risk_averse,2,Q,100.0,0.0,2200.0,deepseek
1,risk_averse,3,Q,100.0,-250.0,2050.0,deepseek
1,risk_averse,4,K,100.0,0.0,2150.0,deepseek
1,risk_averse,5,K,100.0,0.0,2250.0,deepseek
1,risk_averse,6,K,100.0,0.0,2350.0,deepseek
1,risk_averse,7,K,100.0,0.0,2450.0,deepseek
1,risk_averse,8,K,100.0,0.0,2550.0,deepseek
1,risk_averse,9,K,100.0,0.0,2650.0,deepseek
1,risk_averse,10,K,100.0,0.0,2750.0,deepseek
1,risk_averse,11,K,100.0,-1250.0,1600.0,deepseek
1,risk_averse,12,K,100.0,0.0,1700.0,deepseek
1,risk_averse,13,S,50.0,-50.0,1700.0,deepseek
1,risk_averse,14,S,50.0,-50.0,1700.0,deepseek
1,risk_averse,15,S,50.0,-50.0,1700.0,deepseek
1,risk_averse,16,Q,100.0,0.0,1800.0,deepseek
1,risk_averse,17,Q,100.0,0.0,1900.0,deepseek
1,risk_averse,18,Q,100.0,0.0,2000.0,deepseek
1,risk_averse,19,Q,100.0,-250.0,1850.0,deepseek
1,risk_averse,20,S,50.0,-50.0,1850.0,deepseek
1,risk_averse,21,S,50.0,0.0,1900.0,deepseek
1,risk_averse,22,S,50.0,-50.0,1900.0,deepseek
1,risk_averse,23,S,50.0,0.0,1950.0,deepseek
1,risk_averse,24,S,50.0,-50.0,1950.0,deepseek
1,risk_averse,25,S,50.0,0.0,2000.0,deepseek
1,risk_averse,26,S,50.0,0.0,2050.0,deepseek
1,risk_averse,27,S,50.0,0.0,2100.0,deepseek
1,risk_averse,28,S,50.0,0.0,2150.0,deepseek
1,risk_averse,29,S,50.0,-50.0,2150.0,deepseek
1,risk_averse,30,S,50.0,0.0,2200.0,deepseek
1,risk_averse,31,S,50.0,0.0,2250.0,deepseek
1,risk_averse,32,S,50.0,-50.0,2250.0,deepseek
1,risk_averse,33,S,50.0,0.0,2300.0,deepseek
1,risk_averse,34,S,50.0,-50.0,2300.0,deepseek
1,risk_averse,35,S,50.0,-50.0,2300.0,deepseek
1,risk_averse,36,S,50.0,-50.0,2300.0,deepseek
1,risk_averse,37,S,50.0,-50.0,2300.0,deepseek
1,risk_averse,38,S,50.0,0.0,2350.0,deepseek
1,risk_averse,39,S,50.0,-50.0,2350.0,deepseek
1,risk_averse,40,S,50.0,0.0,2400.0,deepseek
1,risk_averse,41,Q,100.0,0.0,2500.0,deepseek
1,risk_averse,42,S,50.0,0.0,2550.0,deepseek
1,risk_averse,43,S,50.0,0.0,2600.0,deepseek
1,risk_averse,44,S,50.0,0.0,2650.0,deepseek
1,risk_averse,45,S,50.0,-50.0,2650.0,deepseek
1,risk_averse,46,Q,100.0,0.0,2750.0,deepseek
1,risk_averse,47,Q,100.0,-250.0,2600.0,deepseek
1,risk_averse,48,S,50.0,0.0,2650.0,deepseek
1,risk_averse,49,S,50.0,-50.0,2650.0,deepseek
1,risk_averse,50,S,50.0,0.0,2700.0,deepseek
1,risk_averse,51,S,50.0,-50.0,2700.0,deepseek
1,risk_averse,52,S,50.0,-50.0,2700.0,deepseek
1,risk_averse,53,S,50.0,0.0,2750.0,deepseek
1,risk_averse,54,S,50.0,0.0,2800.0,deepseek
1,risk_averse,55,S,50.0,-50.0,2800.0,deepseek
1,risk_averse,56,S,50.0,-50.0,2800.0,deepseek
1,risk_averse,57,S,50.0,0.0,2850.0,deepseek
1,risk_averse,58,S,50.0,-50.0,2850.0,deepseek
1,risk_averse,59,S,50.0,0.0,2900.0,deepseek
1,risk_averse,60,S,50.0,0.0,2950.0,deepseek
