session_id,persona,trial_number,choice,won,loss,total,model
1,sham_topic,1,S,50.0,-50.0,2000.0,deepseek
1,sham_topic,2,Q,100.0,0.0,2100.0,deepseek
1,sham_topic,3,K,100.0,0.0,2200.0,deepseek
1,sham_topic,4,K,100.0,-1250.0,1050.0,deepseek
1,sham_topic,5,Q,100.0,-250.0,900.0,deepseek
1,sham_topic,6,S,50.0,0.0,950.0,deepseek
1,sham_topic,7,S,50.0,0.0,1000.0,deepseek
1,sham_topic,8,S,50.0,-50.0,1000.0,deepseek
1,sham_topic,9,S,50.0,-50.0,1000.0,deepseek
1,sham_topic,10,S,50.0,0.0,1050.0,deepseek
1,sham_topic,11,S,50.0,0.0,1100.0,deepseek
1,sham_topic,12,S,50.0,-50.0,1100.0,deepseek
1,sham_topic,13,S,50.0,-50.0,1100.0,deepseek
1,sham_topic,14,S,50.0,0.0,1150.0,deepseek
1,sham_topic,15,S,50.0,-50.0,1150.0,deepseek
1,sham_topic,16,Q,100.0,-250.0,1000.0,deepseek
1,sham_topic,17,S,50.0,-50.0,1000.0,deepseek
1,sham_topic,18,S,50.0,-50.0,1000.0,deepseek
1,sham_topic,19,S,50.0,-50.0,1000.0,deepseek
1,sham_topic,20,S,50.0,0.0,1050.0,deepseek
1,sham_topic,21,S,50.0,-50.0,1050.0,deepseek
1,sham_topic,22,S,50.0,0.0,1100.0,deepseek
1,sham_topic,23,S,50.0,-50.0,1100.0,deepseek
1,sham_topic,24,S,50.0,-50.0,1100.0,deepseek
1,sham_topic,25,Q,100.0,0.0,1200.0,deepseek
1,sham_topic,26,S,50.0,-50.0,1200.0,deepseek
1,sham_topic,27,Q,100.0,-250.0,1050.0,deepseek
1,sham_topic,28,S,50.0,-50.0,1050.0,deepseek
1,sham_topic,29,S,50.0,0.0,1100.0,deepseek
1,sham_topic,30,S,50.0,-50.0,1100.0,deepseek
1,sham_topic,31,S,50.0,-50.0,1100.0,deepseek
1,sham_topic,32,S,50.0,-50.0,1100.0,deepseek
1,sham_topic,33,S,50.0,0.0,1150.0,deepseek
1,sham_topic,34,S,50.0,0.0,1200.0,deepseek
1,sham_topic,35,S,50.0,-50.0,1200.0,deepseek
1,sham_topic,36,S,50.0,0.0,1250.0,deepseek
1,sham_topic,37,S,50.0,-50.0,1250.0,deepseek
1,sham_topic,38,S,50.0,-50.0,1250.0,deepseek
1,sham_topic,39,K,100.0,0.0,1350.0,deepseek
