session_id,trial_number,choice,won,loss,total,variant,model
1,1,Q,100.0,-250.0,1850.0,2,deepseek
1,2,K,100.0,0.0,1950.0,2,deepseek
1,3,K,100.0,0.0,2050.0,2,deepseek
1,4,K,100.0,0.0,2150.0,2,deepseek
1,5,K,100.0,0.0,2250.0,2,deepseek
1,6,K,100.0,-1250.0,1100.0,2,deepseek
1,7,K,100.0,0.0,1200.0,2,deepseek
1,8,K,100.0,0.0,1300.0,2,deepseek
1,9,K,100.0,-1250.0,150.0,2,deepseek
1,10,Q,100.0,0.0,250.0,2,deepseek
1,11,K,100.0,0.0,350.0,2,deepseek
1,12,K,100.0,0.0,450.0,2,deepseek
1,13,K,100.0,0.0,550.0,2,deepseek
1,14,K,100.0,0.0,650.0,2,deepseek
1,15,K,100.0,0.0,750.0,2,deepseek
1,16,Q,100.0,-250.0,600.0,2,deepseek
1,17,K,100.0,0.0,700.0,2,deepseek
1,18,K,100.0,0.0,800.0,2,deepseek
1,19,K,100.0,0.0,900.0,2,deepseek
1,20,Q,100.0,0.0,1000.0,2,deepseek
1,21,K,100.0,0.0,1100.0,2,deepseek
1,22,Q,100.0,0.0,1200.0,2,deepseek
1,23,K,100.0,0.0,1300.0,2,deepseek
1,24,Q,100.0,0.0,1400.0,2,deepseek
1,25,K,100.0,0.0,1500.0,2,deepseek
1,26,K,100.0,0.0,1600.0,2,deepseek
1,27,Q,100.0,0.0,1700.0,2,deepseek
1,28,K,100.0,0.0,1800.0,2,deepseek
1,29,K,100.0,0.0,1900.0,2,deepseek
1,30,Q,100.0,0.0,2000.0,2,deepseek
1,31,K,100.0,0.0,2100.0,2,deepseek
1,32,K,100.0,0.0,2200.0,2,deepseek
1,33,K,100.0,0.0,2300.0,2,deepseek
1,34,K,100.0,0.0,2400.0,2,deepseek
1,35,K,100.0,0.0,2500.0,2,deepseek
1,36,K,100.0,0.0,2600.0,2,deepseek
1,37,K,100.0,0.0,2700.0,2,deepseek
1,38,K,100.0,0.0,2800.0,2,deepseek
1,39,K,100.0,0.0,2900.0,2,deepseek
1,40,K,100.0,0.0,3000.0,2,deepseek
1,41,K,100.0,0.0,3100.0,2,deepseek
1,42,K,100.0,0.0,3200.0,2,deepseek
1,43,K,100.0,0.0,3300.0,2,deepseek
1,44,K,100.0,0.0,3400.0,2,deepseek
1,45,K,100.0,0.0,3500.0,2,deepseek
1,46,Q,100.0,-250.0,3350.0,2,deepseek
1,47,K,100.0,0.0,3450.0,2,deepseek
