session_id,persona,trial_number,choice,won,loss,total,model
1,baseline,1,Q,100,0,2100,gemini
1,baseline,2,K,100,-1250,950,gemini
1,baseline,3,S,50,-50,950,gemini
1,baseline,4,D,50,0,1000,gemini
1,baseline,5,D,50,0,1050,gemini
1,baseline,6,D,50,0,1100,gemini
1,baseline,7,D,50,-250,900,gemini
1,baseline,8,Q,100,-250,750,gemini
1,baseline,9,S,50,0,800,gemini
1,baseline,10,S,50,-50,800,gemini
1,baseline,11,S,50,0,850,gemini
1,baseline,12,S,50,-50,850,gemini
1,baseline,13,S,50,-50,850,gemini
1,baseline,14,S,50,-50,850,gemini
1,baseline,15,D,50,0,900,gemini
1,baseline,16,D,50,0,950,gemini
1,baseline,17,D,50,0,1000,gemini
1,baseline,18,D,50,0,1050,gemini
1,baseline,19,D,50,0,1100,gemini
1,baseline,20,D,50,0,1150,gemini
1,baseline,21,D,50,0,1200,gemini
1,baseline,22,D,50,-250,1000,gemini
1,baseline,23,D,50,0,1050,gemini
1,baseline,24,D,50,0,1100,gemini
1,baseline,25,D,50,0,1150,gemini
1,baseline,26,D,50,0,1200,gemini
1,baseline,27,D,50,0,1250,gemini
1,baseline,28,D,50,0,1300,gemini
1,baseline,29,D,50,0,1350,gemini
1,baseline,30,D,50,0,1400,gemini
1,baseline,31,D,50,0,1450,gemini
1,baseline,32,D,50,0,1500,gemini
1,baseline,33,D,50,0,1550,gemini
1,baseline,34,D,50,0,1600,gemini
1,baseline,35,D,50,0,1650,gemini
1,baseline,36,D,50,0,1700,gemini
1,baseline,37,D,50,-250,1500,gemini
1,baseline,38,D,50,0,1550,gemini
1,baseline,39,D,50,0,1600,gemini
1,baseline,40,D,50,0,1650,gemini
1,baseline,41,D,50,0,1700,gemini
1,baseline,42,D,50,-250,1500,gemini
1,baseline,43,D,50,-250,1300,gemini
1,baseline,44,D,50,0,1350,gemini
1,baseline,45,D,50,0,1400,gemini
1,baseline,46,D,50,0,1450,gemini
1,baseline,47,D,50,0,1500,gemini
1,baseline,48,D,50,0,1550,gemini
1,baseline,49,D,50,-250,1350,gemini
1,baseline,50,S,50,0,1400,gemini
1,baseline,51,S,50,-50,1400,gemini
1,baseline,52,S,50,0,1450,gemini
1,baseline,53,S,50,-50,1450,gemini
1,baseline,54,S,50,0,1500,gemini
1,baseline,55,S,50,0,1550,gemini
1,baseline,56,S,50,0,1600,gemini
1,baseline,57,S,50,-50,1600,gemini
1,baseline,58,S,50,0,1650,gemini
1,baseline,59,S,50,-50,1650,gemini
1,baseline,60,S,50,0,1700,gemini
1,baseline,61,S,50,-50,1700,gemini
1,baseline,62,S,50,0,1750,gemini
1,baseline,63,S,50,0,1800,gemini
1,baseline,64,S,50,0,1850,gemini
1,baseline,65,S,50,-50,1850,gemini
1,baseline,66,S,50,0,1900,gemini
1,baseline,67,S,50,-50,1900,gemini
1,baseline,68,S,50,-50,1900,gemini
1,baseline,69,S,50,-50,1900,gemini
1,baseline,70,S,50,0,1950,gemini
1,baseline,71,S,50,0,2000,gemini
1,baseline,72,S,50,-50,2000,gemini
1,baseline,73,S,50,0,2050,gemini
1,baseline,74,S,50,-50,2050,gemini
1,baseline,75,S,50,0,2100,gemini
1,baseline,76,S,50,0,2150,gemini
1,baseline,77,S,50,-50,2150,gemini
1,baseline,78,S,50,0,2200,gemini
1,baseline,79,S,50,-50,2200,gemini
1,baseline,80,S,50,-50,2200,gemini
1,baseline,81,S,50,-50,2200,gemini
1,baseline,82,S,50,-50,2200,gemini
1,baseline,83,S,50,0,2250,gemini
1,baseline,84,S,50,0,2300,gemini
1,baseline,85,S,50,-50,2300,gemini
1,baseline,86,S,50,0,2350,gemini
1,baseline,87,S,50,0,2400,gemini
1,baseline,88,S,50,0,2450,gemini
