session_id,trial_number,choice,won,loss,total,variant,model
1,1,Q,100,-250,1850,1,gemini
1,2,K,100,0,1950,1,gemini
1,3,S,50,0,2000,1,gemini
1,4,D,50,0,2050,1,gemini
1,5,K,100,0,2150,1,gemini
1,6,K,100,0,2250,1,gemini
1,7,K,100,0,2350,1,gemini
1,8,K,100,0,2450,1,gemini
1,9,K,100,0,2550,1,gemini
1,10,K,100,0,2650,1,gemini
1,11,K,100,0,2750,1,gemini
1,12,K,100,0,2850,1,gemini
1,13,K,100,0,2950,1,gemini
1,14,K,100,0,3050,1,gemini
1,15,K,100,-1250,1900,1,gemini
1,16,S,50,0,1950,1,gemini
1,17,D,50,0,2000,1,gemini
1,18,S,50,-50,2000,1,gemini
1,19,D,50,0,2050,1,gemini
1,20,D,50,0,2100,1,gemini
1,21,D,50,0,2150,1,gemini
1,22,D,50,0,2200,1,gemini
1,23,D,50,0,2250,1,gemini
1,24,D,50,0,2300,1,gemini
1,25,D,50,0,2350,1,gemini
1,26,D,50,0,2400,1,gemini
1,27,D,50,0,2450,1,gemini
1,28,D,50,0,2500,1,gemini
1,29,D,50,0,2550,1,gemini
1,30,D,50,0,2600,1,gemini
1,31,D,50,0,2650,1,gemini
1,32,D,50,0,2700,1,gemini
1,33,D,50,0,2750,1,gemini
1,34,D,50,0,2800,1,gemini
1,35,D,50,0,2850,1,gemini
1,36,D,50,0,2900,1,gemini
1,37,D,50,0,2950,1,gemini
1,38,D,50,0,3000,1,gemini
1,39,D,50,0,3050,1,gemini
1,40,D,50,0,3100,1,gemini
1,41,D,50,0,3150,1,gemini
1,42,D,50,0,3200,1,gemini
1,43,D,50,0,3250,1,gemini
1,44,D,50,0,3300,1,gemini
1,45,D,50,0,3350,1,gemini
1,46,D,50,-250,3150,1,gemini
1,47,D,50,0,3200,1,gemini
1,48,D,50,0,3250,1,gemini
1,49,D,50,0,3300,1,gemini
1,50,D,50,0,3350,1,gemini
1,51,D,50,0,3400,1,gemini
1,52,D,50,0,3450,1,gemini
1,53,D,50,0,3500,1,gemini
1,54,D,50,0,3550,1,gemini
1,55,D,50,0,3600,1,gemini
1,56,D,50,0,3650,1,gemini
1,57,D,50,0,3700,1,gemini
1,58,D,50,0,3750,1,gemini
1,59,D,50,-250,3550,1,gemini
1,60,D,50,0,3600,1,gemini
1,61,D,50,0,3650,1,gemini
1,62,D,50,0,3700,1,gemini
1,63,D,50,0,3750,1,gemini
1,64,D,50,0,3800,1,gemini
1,65,D,50,0,3850,1,gemini
1,66,D,50,0,3900,1,gemini
1,67,D,50,0,3950,1,gemini
1,68,D,50,0,4000,1,gemini
1,69,D,50,0,4050,1,gemini
1,70,D,50,0,4100,1,gemini
1,71,D,50,0,4150,1,gemini
1,72,D,50,-250,3950,1,gemini
1,73,D,50,0,4000,1,gemini
1,74,D,50,0,4050,1,gemini
1,75,D,50,-250,3850,1,gemini
1,76,D,50,0,3900,1,gemini
1,77,D,50,0,3950,1,gemini
1,78,D,50,0,4000,1,gemini
1,79,D,50,0,4050,1,gemini
1,80,D,50,0,4100,1,gemini
1,81,D,50,0,4150,1,gemini
1,82,D,50,0,4200,1,gemini
1,83,D,50,0,4250,1,gemini
1,84,D,50,0,4300,1,gemini
1,85,D,50,0,4350,1,gemini
1,86,D,50,0,4400,1,gemini
1,87,D,50,0,4450,1,gemini
1,88,D,50,0,4500,1,gemini
1,89,D,50,-250,4300,1,gemini
1,90,D,50,0,4350,1,gemini
1,91,D,50,0,4400,1,gemini
1,92,D,50,-250,4200,1,gemini
1,93,D,50,0,4250,1,gemini
1,94,D,50,0,4300,1,gemini
1,95,D,50,0,4350,1,gemini
1,96,D,50,0,4400,1,gemini
1,97,D,50,0,4450,1,gemini
1,98,D,50,0,4500,1,gemini
1,99,D,50,0,4550,1,gemini
1,100,D,50,0,4600,1,gemini
2,1,Q,100,0,2100,1,gemini
2,2,K,100,-1250,950,1,gemini
2,3,S,50,-50,950,1,gemini
2,4,D,50,0,1000,1,gemini
2,5,D,50,0,1050,1,gemini
2,6,D,50,0,1100,1,gemini
2,7,D,50,0,1150,1,gemini
2,8,D,50,0,1200,1,gemini
2,9,D,50,0,1250,1,gemini
2,10,D,50,0,1300,1,gemini
2,11,D,50,0,1350,1,gemini
2,12,D,50,0,1400,1,gemini
2,13,D,50,0,1450,1,gemini
2,14,D,50,0,1500,1,gemini
2,15,D,50,0,1550,1,gemini
2,16,D,50,0,1600,1,gemini
2,17,D,50,0,1650,1,gemini
2,18,D,50,-250,1450,1,gemini
2,19,S,50,-50,1450,1,gemini
2,20,D,50,0,1500,1,gemini
2,21,D,50,0,1550,1,gemini
2,22,D,50,0,1600,1,gemini
2,23,D,50,-250,1400,1,gemini
2,24,D,50,0,1450,1,gemini
2,25,D,50,0,1500,1,gemini
2,26,D,50,0,1550,1,gemini
2,27,D,50,0,1600,1,gemini
2,28,D,50,0,1650,1,gemini
2,29,D,50,0,1700,1,gemini
2,30,D,50,0,1750,1,gemini
2,31,D,50,0,1800,1,gemini
2,32,D,50,-250,1600,1,gemini
2,33,D,50,0,1650,1,gemini
2,34,D,50,0,1700,1,gemini
2,35,D,50,0,1750,1,gemini
2,36,D,50,0,1800,1,gemini
2,37,D,50,0,1850,1,gemini
2,38,D,50,0,1900,1,gemini
2,39,D,50,0,1950,1,gemini
2,40,D,50,0,2000,1,gemini
2,41,D,50,0,2050,1,gemini
2,42,D,50,0,2100,1,gemini
2,43,D,50,0,2150,1,gemini
2,44,D,50,-250,1950,1,gemini
2,45,D,50,0,2000,1,gemini
2,46,D,50,0,2050,1,gemini
2,47,D,50,0,2100,1,gemini
2,48,D,50,0,2150,1,gemini
2,49,D,50,0,2200,1,gemini
2,50,D,50,0,2250,1,gemini
2,51,D,50,0,2300,1,gemini
2,52,D,50,0,2350,1,gemini
2,53,D,50,0,2400,1,gemini
2,54,D,50,0,2450,1,gemini
2,55,D,50,-250,2250,1,gemini
2,56,D,50,-250,2050,1,gemini
2,57,D,50,0,2100,1,gemini
2,58,D,50,0,2150,1,gemini
2,59,D,50,0,2200,1,gemini
2,60,D,50,0,2250,1,gemini
2,61,D,50,0,2300,1,gemini
2,62,D,50,0,2350,1,gemini
2,63,D,50,0,2400,1,gemini
2,64,D,50,0,2450,1,gemini
2,65,D,50,0,2500,1,gemini
2,66,D,50,0,2550,1,gemini
2,67,D,50,0,2600,1,gemini
2,68,D,50,0,2650,1,gemini
2,69,D,50,0,2700,1,gemini
2,70,D,50,0,2750,1,gemini
2,71,D,50,0,2800,1,gemini
2,72,D,50,-250,2600,1,gemini
2,73,D,50,0,2650,1,gemini
2,74,D,50,0,2700,1,gemini
2,75,D,50,0,2750,1,gemini
2,76,D,50,0,2800,1,gemini
2,77,D,50,0,2850,1,gemini
