session_id,persona,trial_number,choice,won,loss,total,model
1,disengaged,1,Q,100,-250,1850,gemini
1,disengaged,2,K,100,0,1950,gemini
1,disengaged,3,S,50,0,2000,gemini
1,disengaged,4,D,50,0,2050,gemini
1,disengaged,5,Q,100,0,2150,gemini
1,disengaged,6,S,50,-50,2150,gemini
1,disengaged,7,K,100,0,2250,gemini
1,disengaged,8,D,50,0,2300,gemini
1,disengaged,9,S,50,-50,2300,gemini
1,disengaged,10,K,100,0,2400,gemini
1,disengaged,11,D,50,0,2450,gemini
1,disengaged,12,Q,100,-250,2300,gemini
1,disengaged,13,S,50,-50,2300,gemini
1,disengaged,14,D,50,0,2350,gemini
1,disengaged,15,Q,100,0,2450,gemini
1,disengaged,16,S,50,-50,2450,gemini
1,disengaged,17,K,100,0,2550,gemini
1,disengaged,18,D,50,0,2600,gemini
1,disengaged,19,K,100,-1250,1450,gemini
1,disengaged,20,S,50,0,1500,gemini
1,disengaged,21,Q,100,-250,1350,gemini
1,disengaged,22,S,50,-50,1350,gemini
1,disengaged,23,D,50,0,1400,gemini
1,disengaged,24,K,100,0,1500,gemini
1,disengaged,25,Q,100,-250,1350,gemini
1,disengaged,26,S,50,-50,1350,gemini
1,disengaged,27,K,100,0,1450,gemini
1,disengaged,28,D,50,0,1500,gemini
1,disengaged,29,Q,100,-250,1350,gemini
1,disengaged,30,S,50,0,1400,gemini
1,disengaged,31,K,100,-1250,250,gemini
1,disengaged,32,S,50,0,300,gemini
1,disengaged,33,D,50,0,350,gemini
1,disengaged,34,Q,100,-250,200,gemini
1,disengaged,35,K,100,0,300,gemini
1,disengaged,36,S,50,0,350,gemini
1,disengaged,37,Q,100,-250,200,gemini
1,disengaged,38,D,50,-250,0,gemini
1,disengaged,39,S,50,-50,0,gemini
1,disengaged,40,K,100,0,100,gemini
1,disengaged,41,S,50,-50,100,gemini
1,disengaged,42,D,50,0,150,gemini
1,disengaged,43,Q,100,-250,0,gemini
1,disengaged,44,K,100,0,100,gemini
1,disengaged,45,S,50,0,150,gemini
1,disengaged,46,K,100,0,250,gemini
1,disengaged,47,D,50,0,300,gemini
1,disengaged,48,S,50,-50,300,gemini
1,disengaged,49,Q,100,0,400,gemini
1,disengaged,50,K,100,-1250,-750,gemini
1,disengaged,51,Q,100,0,-650,gemini
1,disengaged,52,D,50,0,-600,gemini
1,disengaged,53,K,100,0,-500,gemini
1,disengaged,54,S,50,0,-450,gemini
1,disengaged,55,Q,100,-250,-600,gemini
1,disengaged,56,S,50,0,-550,gemini
1,disengaged,57,D,50,0,-500,gemini
1,disengaged,58,Q,100,-250,-650,gemini
1,disengaged,59,K,100,0,-550,gemini
1,disengaged,60,S,50,0,-500,gemini
1,disengaged,61,D,50,0,-450,gemini
1,disengaged,62,Q,100,-250,-600,gemini
1,disengaged,63,K,100,0,-500,gemini
1,disengaged,64,D,50,0,-450,gemini
1,disengaged,65,S,50,-50,-450,gemini
1,disengaged,66,K,100,0,-350,gemini
1,disengaged,67,S,50,-50,-350,gemini
1,disengaged,68,Q,100,-250,-500,gemini
1,disengaged,69,D,50,0,-450,gemini
1,disengaged,70,K,100,0,-350,gemini
1,disengaged,71,S,50,-50,-350,gemini
1,disengaged,72,D,50,0,-300,gemini
1,disengaged,73,Q,100,-250,-450,gemini
1,disengaged,74,S,50,0,-400,gemini
1,disengaged,75,K,100,0,-300,gemini
1,disengaged,76,D,50,0,-250,gemini
1,disengaged,77,Q,100,-250,-400,gemini
1,disengaged,78,K,100,0,-300,gemini
1,disengaged,79,D,50,0,-250,gemini
1,disengaged,80,S,50,-50,-250,gemini
1,disengaged,81,Q,100,0,-150,gemini
1,disengaged,82,S,50,-50,-150,gemini
1,disengaged,83,D,50,0,-100,gemini
1,disengaged,84,K,100,0,0,gemini
1,disengaged,85,S,50,0,50,gemini
1,disengaged,86,D,50,-250,-150,gemini
1,disengaged,87,S,50,0,-100,gemini
1,disengaged,88,K,100,0,0,gemini
1,disengaged,89,Q,100,0,100,gemini
1,disengaged,90,S,50,-50,100,gemini
1,disengaged,91,K,100,0,200,gemini
1,disengaged,92,Q,100,0,300,gemini
1,disengaged,93,D,50,0,350,gemini
1,disengaged,94,K,100,0,450,gemini
1,disengaged,95,S,50,-50,450,gemini
1,disengaged,96,Q,100,-250,300,gemini
1,disengaged,97,D,50,0,350,gemini
1,disengaged,98,S,50,0,400,gemini
1,disengaged,99,K,100,0,500,gemini
1,disengaged,100,D,50,0,550,gemini
2,disengaged,1,K,100,0,2100,gemini
2,disengaged,2,S,50,-50,2100,gemini
2,disengaged,3,Q,100,-250,1950,gemini
2,disengaged,4,D,50,0,2000,gemini
2,disengaged,5,K,100,0,2100,gemini
2,disengaged,6,S,50,0,2150,gemini
2,disengaged,7,D,50,0,2200,gemini
2,disengaged,8,Q,100,-250,2050,gemini
2,disengaged,9,D,50,0,2100,gemini
2,disengaged,10,K,100,0,2200,gemini
2,disengaged,11,S,50,-50,2200,gemini
2,disengaged,12,D,50,0,2250,gemini
2,disengaged,13,Q,100,-250,2100,gemini
2,disengaged,14,S,50,-50,2100,gemini
2,disengaged,15,K,100,0,2200,gemini
2,disengaged,16,D,50,0,2250,gemini
2,disengaged,17,S,50,-50,2250,gemini
2,disengaged,18,Q,100,-250,2100,gemini
2,disengaged,19,K,100,0,2200,gemini
2,disengaged,20,D,50,0,2250,gemini
2,disengaged,21,Q,100,0,2350,gemini
2,disengaged,22,S,50,-50,2350,gemini
2,disengaged,23,K,100,0,2450,gemini
2,disengaged,24,D,50,0,2500,gemini
2,disengaged,25,Q,100,0,2600,gemini
2,disengaged,26,S,50,0,2650,gemini
2,disengaged,27,D,50,-250,2450,gemini
2,disengaged,28,K,100,0,2550,gemini
2,disengaged,29,S,50,-50,2550,gemini
