session_id,persona,trial_number,choice,won,loss,total,model
1,exploratory,1,Q,100,0,2100,gemini
1,exploratory,2,K,100,0,2200,gemini
1,exploratory,3,S,50,-50,2200,gemini
1,exploratory,4,D,50,0,2250,gemini
1,exploratory,5,Q,100,0,2350,gemini
1,exploratory,6,K,100,0,2450,gemini
1,exploratory,7,S,50,-50,2450,gemini
1,exploratory,8,D,50,0,2500,gemini
1,exploratory,9,Q,100,0,2600,gemini
1,exploratory,10,K,100,0,2700,gemini
1,exploratory,11,S,50,0,2750,gemini
1,exploratory,12,D,50,0,2800,gemini
1,exploratory,13,Q,100,0,2900,gemini
1,exploratory,14,K,100,0,3000,gemini
1,exploratory,15,S,50,0,3050,gemini
1,exploratory,16,D,50,0,3100,gemini
1,exploratory,17,Q,100,0,3200,gemini
1,exploratory,18,K,100,0,3300,gemini
1,exploratory,19,S,50,-50,3300,gemini
1,exploratory,20,D,50,0,3350,gemini
1,exploratory,21,Q,100,-250,3200,gemini
1,exploratory,22,K,100,-1250,2050,gemini
1,exploratory,23,S,50,-50,2050,gemini
1,exploratory,24,D,50,0,2100,gemini
1,exploratory,25,Q,100,0,2200,gemini
1,exploratory,26,K,100,0,2300,gemini
1,exploratory,27,S,50,0,2350,gemini
1,exploratory,28,D,50,-250,2150,gemini
1,exploratory,29,Q,100,0,2250,gemini
1,exploratory,30,K,100,-1250,1100,gemini
1,exploratory,31,S,50,-50,1100,gemini
1,exploratory,32,D,50,0,1150,gemini
1,exploratory,33,Q,100,-250,1000,gemini
1,exploratory,34,K,100,0,1100,gemini
1,exploratory,35,S,50,0,1150,gemini
1,exploratory,36,D,50,0,1200,gemini
1,exploratory,37,Q,100,-250,1050,gemini
1,exploratory,38,K,100,0,1150,gemini
1,exploratory,39,S,50,-50,1150,gemini
1,exploratory,40,D,50,0,1200,gemini
1,exploratory,41,Q,100,0,1300,gemini
1,exploratory,42,K,100,0,1400,gemini
1,exploratory,43,S,50,0,1450,gemini
1,exploratory,44,D,50,0,1500,gemini
1,exploratory,45,Q,100,-250,1350,gemini
1,exploratory,46,K,100,0,1450,gemini
1,exploratory,47,S,50,0,1500,gemini
1,exploratory,48,D,50,0,1550,gemini
1,exploratory,49,Q,100,-250,1400,gemini
1,exploratory,50,K,100,0,1500,gemini
1,exploratory,51,S,50,-50,1500,gemini
1,exploratory,52,D,50,0,1550,gemini
1,exploratory,53,Q,100,-250,1400,gemini
1,exploratory,54,K,100,0,1500,gemini
1,exploratory,55,S,50,-50,1500,gemini
1,exploratory,56,D,50,0,1550,gemini
1,exploratory,57,Q,100,0,1650,gemini
1,exploratory,58,K,100,0,1750,gemini
1,exploratory,59,S,50,0,1800,gemini
1,exploratory,60,D,50,0,1850,gemini
1,exploratory,61,Q,100,0,1950,gemini
1,exploratory,62,K,100,0,2050,gemini
1,exploratory,63,S,50,-50,2050,gemini
1,exploratory,64,D,50,0,2100,gemini
1,exploratory,65,Q,100,-250,1950,gemini
1,exploratory,66,K,100,0,2050,gemini
1,exploratory,67,S,50,-50,2050,gemini
1,exploratory,68,D,50,0,2100,gemini
1,exploratory,69,Q,100,0,2200,gemini
1,exploratory,70,K,100,0,2300,gemini
1,exploratory,71,S,50,-50,2300,gemini
1,exploratory,72,D,50,0,2350,gemini
1,exploratory,73,Q,100,0,2450,gemini
1,exploratory,74,K,100,0,2550,gemini
1,exploratory,75,S,50,-50,2550,gemini
1,exploratory,76,D,50,0,2600,gemini
1,exploratory,77,Q,100,-250,2450,gemini
1,exploratory,78,K,100,0,2550,gemini
1,exploratory,79,S,50,-50,2550,gemini
1,exploratory,80,D,50,0,2600,gemini
1,exploratory,81,Q,100,0,2700,gemini
1,exploratory,82,K,100,0,2800,gemini
1,exploratory,83,S,50,0,2850,gemini
1,exploratory,84,D,50,0,2900,gemini
1,exploratory,85,Q,100,0,3000,gemini
1,exploratory,86,K,100,0,3100,gemini
1,exploratory,87,S,50,-50,3100,gemini
1,exploratory,88,D,50,-250,2900,gemini
1,exploratory,89,Q,100,-250,2750,gemini
1,exploratory,90,K,100,-1250,1600,gemini
1,exploratory,91,S,50,-50,1600,gemini
1,exploratory,92,D,50,0,1650,gemini
1,exploratory,93,Q,100,0,1750,gemini
1,exploratory,94,K,100,0,1850,gemini
1,exploratory,95,S,50,-50,1850,gemini
1,exploratory,96,D,50,0,1900,gemini
1,exploratory,97,Q,100,-250,1750,gemini
1,exploratory,98,K,100,0,1850,gemini
1,exploratory,99,S,50,-50,1850,gemini
1,exploratory,100,D,50,0,1900,gemini
2,exploratory,1,Q,100,-250,1850,gemini
2,exploratory,2,K,100,0,1950,gemini
2,exploratory,3,S,50,-50,1950,gemini
2,exploratory,4,D,50,0,2000,gemini
2,exploratory,5,Q,100,0,2100,gemini
2,exploratory,6,K,100,0,2200,gemini
2,exploratory,7,S,50,0,2250,gemini
2,exploratory,8,D,50,0,2300,gemini
2,exploratory,9,Q,100,-250,2150,gemini
2,exploratory,10,K,100,0,2250,gemini
2,exploratory,11,S,50,-50,2250,gemini
2,exploratory,12,D,50,0,2300,gemini
2,exploratory,13,Q,100,-250,2150,gemini
2,exploratory,14,K,100,0,2250,gemini
