session_id,persona,trial_number,choice,won,loss,total,model
1,risk_averse,1,S,50,-50,2000,gemini
1,risk_averse,2,Q,100,-250,1850,gemini
1,risk_averse,3,D,50,0,1900,gemini
1,risk_averse,4,D,50,-250,1700,gemini
1,risk_averse,5,K,100,0,1800,gemini
1,risk_averse,6,K,100,0,1900,gemini
1,risk_averse,7,K,100,0,2000,gemini
1,risk_averse,8,K,100,-1250,850,gemini
1,risk_averse,9,S,50,-50,850,gemini
1,risk_averse,10,S,50,0,900,gemini
1,risk_averse,11,S,50,-50,900,gemini
1,risk_averse,12,S,50,0,950,gemini
1,risk_averse,13,S,50,-50,950,gemini
1,risk_averse,14,S,50,-50,950,gemini
1,risk_averse,15,S,50,0,1000,gemini
1,risk_averse,16,S,50,0,1050,gemini
1,risk_averse,17,S,50,-50,1050,gemini
1,risk_averse,18,S,50,-50,1050,gemini
1,risk_averse,19,S,50,-50,1050,gemini
1,risk_averse,20,S,50,-50,1050,gemini
1,risk_averse,21,S,50,-50,1050,gemini
1,risk_averse,22,S,50,0,1100,gemini
1,risk_averse,23,S,50,0,1150,gemini
1,risk_averse,24,S,50,0,1200,gemini
1,risk_averse,25,S,50,-50,1200,gemini
1,risk_averse,26,S,50,-50,1200,gemini
1,risk_averse,27,S,50,-50,1200,gemini
1,risk_averse,28,S,50,0,1250,gemini
1,risk_averse,29,D,50,0,1300,gemini
1,risk_averse,30,D,50,0,1350,gemini
1,risk_averse,31,D,50,0,1400,gemini
1,risk_averse,32,D,50,0,1450,gemini
1,risk_averse,33,D,50,0,1500,gemini
1,risk_averse,34,D,50,0,1550,gemini
1,risk_averse,35,D,50,0,1600,gemini
1,risk_averse,36,D,50,0,1650,gemini
1,risk_averse,37,D,50,-250,1450,gemini
1,risk_averse,38,S,50,0,1500,gemini
1,risk_averse,39,S,50,-50,1500,gemini
1,risk_averse,40,S,50,-50,1500,gemini
1,risk_averse,41,S,50,-50,1500,gemini
1,risk_averse,42,K,100,0,1600,gemini
1,risk_averse,43,K,100,0,1700,gemini
1,risk_averse,44,K,100,-1250,550,gemini
1,risk_averse,45,S,50,-50,550,gemini
1,risk_averse,46,S,50,-50,550,gemini
1,risk_averse,47,S,50,0,600,gemini
1,risk_averse,48,S,50,0,650,gemini
1,risk_averse,49,S,50,-50,650,gemini
1,risk_averse,50,S,50,-50,650,gemini
1,risk_averse,51,S,50,0,700,gemini
1,risk_averse,52,S,50,0,750,gemini
1,risk_averse,53,S,50,0,800,gemini
1,risk_averse,54,S,50,-50,800,gemini
1,risk_averse,55,S,50,-50,800,gemini
1,risk_averse,56,S,50,0,850,gemini
1,risk_averse,57,S,50,0,900,gemini
1,risk_averse,58,S,50,0,950,gemini
1,risk_averse,59,S,50,-50,950,gemini
1,risk_averse,60,S,50,-50,950,gemini
1,risk_averse,61,S,50,-50,950,gemini
1,risk_averse,62,S,50,-50,950,gemini
1,risk_averse,63,D,50,0,1000,gemini
1,risk_averse,64,D,50,0,1050,gemini
1,risk_averse,65,D,50,0,1100,gemini
1,risk_averse,66,D,50,0,1150,gemini
1,risk_averse,67,D,50,0,1200,gemini
1,risk_averse,68,D,50,0,1250,gemini
1,risk_averse,69,D,50,0,1300,gemini
1,risk_averse,70,D,50,0,1350,gemini
1,risk_averse,71,D,50,0,1400,gemini
1,risk_averse,72,D,50,0,1450,gemini
1,risk_averse,73,D,50,0,1500,gemini
1,risk_averse,74,D,50,0,1550,gemini
1,risk_averse,75,D,50,0,1600,gemini
1,risk_averse,76,D,50,0,1650,gemini
1,risk_averse,77,D,50,-250,1450,gemini
1,risk_averse,78,S,50,0,1500,gemini
1,risk_averse,79,S,50,-50,1500,gemini
1,risk_averse,80,S,50,-50,1500,gemini
1,risk_averse,81,S,50,-50,1500,gemini
1,risk_averse,82,D,50,0,1550,gemini
1,risk_averse,83,D,50,0,1600,gemini
1,risk_averse,84,D,50,0,1650,gemini
1,risk_averse,85,D,50,0,1700,gemini
1,risk_averse,86,D,50,-250,1500,gemini
1,risk_averse,87,S,50,-50,1500,gemini
1,risk_averse,88,S,50,-50,1500,gemini
1,risk_averse,89,Q,100,-250,1350,gemini
1,risk_averse,90,S,50,-50,1350,gemini
1,risk_averse,91,S,50,-50,1350,gemini
1,risk_averse,92,S,50,-50,1350,gemini
1,risk_averse,93,K,100,0,1450,gemini
1,risk_averse,94,K,100,0,1550,gemini
1,risk_averse,95,K,100,0,1650,gemini
1,risk_averse,96,K,100,0,1750,gemini
1,risk_averse,97,K,100,0,1850,gemini
1,risk_averse,98,K,100,0,1950,gemini
1,risk_averse,99,K,100,0,2050,gemini
1,risk_averse,100,K,100,0,2150,gemini
2,risk_averse,1,S,50,-50,2000,gemini
2,risk_averse,2,Q,100,-250,1850,gemini
2,risk_averse,3,D,50,0,1900,gemini
2,risk_averse,4,D,50,0,1950,gemini
2,risk_averse,5,D,50,0,2000,gemini
2,risk_averse,6,D,50,0,2050,gemini
2,risk_averse,7,D,50,0,2100,gemini
2,risk_averse,8,D,50,0,2150,gemini
2,risk_averse,9,D,50,0,2200,gemini
2,risk_averse,10,D,50,0,2250,gemini
2,risk_averse,11,D,50,0,2300,gemini
2,risk_averse,12,D,50,0,2350,gemini
2,risk_averse,13,D,50,0,2400,gemini
2,risk_averse,14,D,50,-250,2200,gemini
2,risk_averse,15,K,100,0,2300,gemini
2,risk_averse,16,K,100,0,2400,gemini
2,risk_averse,17,K,100,0,2500,gemini
2,risk_averse,18,K,100,0,2600,gemini
2,risk_averse,19,K,100,0,2700,gemini
2,risk_averse,20,K,100,0,2800,gemini
2,risk_averse,21,K,100,0,2900,gemini
2,risk_averse,22,K,100,0,3000,gemini
2,risk_averse,23,K,100,0,3100,gemini
2,risk_averse,24,K,100,0,3200,gemini
2,risk_averse,25,K,100,-1250,2050,gemini
2,risk_averse,26,S,50,-50,2050,gemini
2,risk_averse,27,Q,100,-250,1900,gemini
2,risk_averse,28,S,50,0,1950,gemini
2,risk_averse,29,S,50,-50,1950,gemini
2,risk_averse,30,S,50,-50,1950,gemini
2,risk_averse,31,S,50,-50,1950,gemini
2,risk_averse,32,S,50,0,2000,gemini
2,risk_averse,33,S,50,0,2050,gemini
2,risk_averse,34,S,50,0,2100,gemini
2,risk_averse,35,S,50,0,2150,gemini
2,risk_averse,36,S,50,-50,2150,gemini
2,risk_averse,37,S,50,0,2200,gemini
2,risk_averse,38,S,50,0,2250,gemini
2,risk_averse,39,S,50,-50,2250,gemini
2,risk_averse,40,S,50,-50,2250,gemini
2,risk_averse,41,S,50,0,2300,gemini
2,risk_averse,42,S,50,0,2350,gemini
