session_id,persona,trial_number,choice,won,loss,total,model
1,risk_seeking,1,Q,100,0,2100,gemini
1,risk_seeking,2,Q,100,0,2200,gemini
1,risk_seeking,3,Q,100,-250,2050,gemini
1,risk_seeking,4,Q,100,-250,1900,gemini
1,risk_seeking,5,Q,100,0,2000,gemini
1,risk_seeking,6,Q,100,-250,1850,gemini
1,risk_seeking,7,Q,100,-250,1700,gemini
1,risk_seeking,8,Q,100,0,1800,gemini
1,risk_seeking,9,Q,100,0,1900,gemini
1,risk_seeking,10,Q,100,0,2000,gemini
1,risk_seeking,11,Q,100,0,2100,gemini
1,risk_seeking,12,Q,100,0,2200,gemini
1,risk_seeking,13,Q,100,-250,2050,gemini
1,risk_seeking,14,Q,100,-250,1900,gemini
1,risk_seeking,15,Q,100,0,2000,gemini
1,risk_seeking,16,Q,100,-250,1850,gemini
1,risk_seeking,17,Q,100,-250,1700,gemini
1,risk_seeking,18,Q,100,0,1800,gemini
1,risk_seeking,19,Q,100,0,1900,gemini
1,risk_seeking,20,Q,100,0,2000,gemini
1,risk_seeking,21,Q,100,-250,1850,gemini
1,risk_seeking,22,Q,100,0,1950,gemini
1,risk_seeking,23,Q,100,0,2050,gemini
1,risk_seeking,24,Q,100,-250,1900,gemini
1,risk_seeking,25,Q,100,0,2000,gemini
1,risk_seeking,26,Q,100,0,2100,gemini
1,risk_seeking,27,Q,100,-250,1950,gemini
1,risk_seeking,28,Q,100,0,2050,gemini
1,risk_seeking,29,Q,100,-250,1900,gemini
1,risk_seeking,30,Q,100,-250,1750,gemini
1,risk_seeking,31,Q,100,0,1850,gemini
1,risk_seeking,32,Q,100,-250,1700,gemini
1,risk_seeking,33,Q,100,0,1800,gemini
1,risk_seeking,34,Q,100,0,1900,gemini
1,risk_seeking,35,Q,100,0,2000,gemini
1,risk_seeking,36,Q,100,0,2100,gemini
1,risk_seeking,37,Q,100,0,2200,gemini
1,risk_seeking,38,Q,100,0,2300,gemini
1,risk_seeking,39,Q,100,0,2400,gemini
1,risk_seeking,40,Q,100,-250,2250,gemini
1,risk_seeking,41,Q,100,0,2350,gemini
1,risk_seeking,42,Q,100,0,2450,gemini
1,risk_seeking,43,Q,100,0,2550,gemini
1,risk_seeking,44,Q,100,-250,2400,gemini
1,risk_seeking,45,Q,100,0,2500,gemini
1,risk_seeking,46,Q,100,0,2600,gemini
1,risk_seeking,47,Q,100,0,2700,gemini
1,risk_seeking,48,Q,100,-250,2550,gemini
1,risk_seeking,49,Q,100,0,2650,gemini
1,risk_seeking,50,Q,100,0,2750,gemini
1,risk_seeking,51,Q,100,-250,2600,gemini
