session_id,trial_number,choice,won,loss,total,variant,model
1,1,Q,100,0,2100,3,gemini
1,2,K,100,0,2200,3,gemini
1,3,S,50,-50,2200,3,gemini
1,4,D,50,0,2250,3,gemini
1,5,Q,100,0,2350,3,gemini
1,6,K,100,0,2450,3,gemini
1,7,Q,100,0,2550,3,gemini
1,8,K,100,0,2650,3,gemini
1,9,Q,100,-250,2500,3,gemini
1,10,D,50,0,2550,3,gemini
1,11,K,100,0,2650,3,gemini
1,12,K,100,0,2750,3,gemini
1,13,K,100,0,2850,3,gemini
1,14,K,100,0,2950,3,gemini
1,15,K,100,0,3050,3,gemini
1,16,K,100,0,3150,3,gemini
1,17,K,100,0,3250,3,gemini
1,18,K,100,0,3350,3,gemini
1,19,K,100,0,3450,3,gemini
1,20,K,100,0,3550,3,gemini
1,21,K,100,-1250,2400,3,gemini
1,22,D,50,0,2450,3,gemini
1,23,D,50,0,2500,3,gemini
1,24,D,50,0,2550,3,gemini
1,25,D,50,0,2600,3,gemini
1,26,D,50,0,2650,3,gemini
1,27,D,50,0,2700,3,gemini
1,28,D,50,0,2750,3,gemini
1,29,D,50,0,2800,3,gemini
1,30,D,50,0,2850,3,gemini
1,31,D,50,0,2900,3,gemini
1,32,D,50,0,2950,3,gemini
1,33,D,50,0,3000,3,gemini
1,34,D,50,0,3050,3,gemini
1,35,D,50,0,3100,3,gemini
1,36,D,50,0,3150,3,gemini
1,37,D,50,0,3200,3,gemini
1,38,D,50,0,3250,3,gemini
1,39,D,50,0,3300,3,gemini
1,40,D,50,0,3350,3,gemini
1,41,D,50,0,3400,3,gemini
1,42,D,50,0,3450,3,gemini
1,43,D,50,0,3500,3,gemini
1,44,D,50,0,3550,3,gemini
1,45,D,50,-250,3350,3,gemini
1,46,D,50,0,3400,3,gemini
1,47,D,50,0,3450,3,gemini
1,48,D,50,-250,3250,3,gemini
1,49,D,50,-250,3050,3,gemini
1,50,K,100,0,3150,3,gemini
1,51,K,100,0,3250,3,gemini
1,52,K,100,0,3350,3,gemini
